WEATHER_SK,WEATHER_DESCRIPTION,ILLUMINATION_DESCRIPTION
ba872d8ecdbb6b4d6e70751dcbc87387,RAIN,Dark-Unknown Lighting
f32140579daaec999c7474bdc84e2b63,UNKNOWN,Dark-Unknown Lighting
607f54d3dcefba3d6f2c9c53b299dc79,FOG,DUSK
d9ac7f900d30125b65193bf98f3349d4,OTHER (NARRATIVE),OTHER
6048bb6c2436de4c516360725b64c5d8,SLEET; HAIL,OTHER
dd0d49a2cfba3e8a9fc65b23618cfb29,SMOG; SMOKE,DARK - NOT LIGHTED
28e12417a8380d506a0a80f24711e8cf,SEVERE CROSSWIND,DUSK
5946f44a96fa25ddfba36dd98776a642,SLEET; HAIL,Dark-Unknown Lighting
8fb7baf872315f9351cbb8d055453d7a,BLOWING SNOW,UNKNOWN
2f53226d2a5f8550781851ff4c2b4333,BLOWING SNOW,Dark-Unknown Lighting
4eec673286f9950698a91f52cca3dc8d,CLOUDY,DAYLIGHT
ea7bce1151d724f4e82a54eb67441378,CLEAR,Dark-Unknown Lighting
aa71e8179ff366cdfcd37a8d3917012c,RAIN,DARK - NOT LIGHTED
c7ab33e04a747de26092b5c2eb37600e,FOG,Dark-Unknown Lighting
9b44a80c5b0394544bcdbaca6e439c26,SLEET; HAIL,DAYLIGHT
c72972369460d92120ae8290416e3e98,SNOW,DAYLIGHT
6b28d909c780144e64624d1731e12cc6,RAIN,DUSK
ab761ed85fbc1789c82331f4bc003ec0,SNOW,DUSK
fbc0f621f12c33c0f2b8456c2e5b3cf3,BLOWING SNOW,DUSK
fc50decea6fa6d72028df775d97f4e0a,SNOW,DARK - LIGHTED
393529acbe4c0b0ba0789367900f8d4d,BLOWING SNOW,DARK - NOT LIGHTED
ce4f931b3c4bec087627be12ab2fc1e9,SNOW,DARK - NOT LIGHTED
3a02e10ea06f72ac78add0cf7e02c940,SLEET; HAIL,DARK - LIGHTED
00e187f1ddbe24e409ce09d52286dbff,SNOW,Dark-Unknown Lighting
b49c0bd272d50319104b4245f2bb7fdb,FOG,DAWN
d68b5d73e282ecd08a5199b1c4959dd3,SNOW,OTHER
2fee28da633b93afbc6cdf38b6fb57d6,CLEAR,OTHER
7ae8a8c17da0be08906f76c412bc1b6c,OTHER (NARRATIVE),DAWN
0112b66ca4166ef5920de64a011ef6ab,CLOUDY,OTHER
a782315ddf43ca9b63d01c8a2365db31,UNKNOWN,DAWN
6b642486f10af04b8f263f80eec0e5f9,FOG,OTHER
5d059e94d4e954653f3f66e27600c41f,UNKNOWN,DUSK
7b1521a8c64ceb8a7767c013b843d7a4,SEVERE CROSSWIND,DARK - LIGHTED
912127a51ee100213c44ff7cc68cadee,SMOG; SMOKE,DARK - LIGHTED
2b745e45cb3276a32575a5943342886a,SEVERE CROSSWIND,DARK - NOT LIGHTED
06d4eb7da5a82d50a1623d85853cc1e3,SLEET; HAIL,UNKNOWN
d1d17168c9ec4d5feeef20da39d87620,OTHER (NARRATIVE),Dark-Unknown Lighting
6b6cada60554f05b4ba222b906b08ac0,FOG,UNKNOWN
9917e1149d9bca845a02a01f5c2839ec,SMOG; SMOKE,OTHER
5218fc018e0e471cf3bfa12a45d34d18,BLOWING SAND/SOIL/DIRT,DAYLIGHT
35742315ea8970ce02faae21fc67c241,SMOG; SMOKE,DUSK
3d2e953a4b08d3fb191b199ba757cfb6,BLOWING SAND/SOIL/DIRT,DARK - NOT LIGHTED
eaa0c0723881cb5fd219f3884c219680,BLOWING SNOW,OTHER
81bd55bd5bc2be01ebc7fa2b6f6f4e56,OTHER (NARRATIVE),DAYLIGHT
19e18f2f9753c55efe5ce90a4f4cf4f8,SLEET; HAIL,DUSK
0eb8c4299eeaa4a8b4f8ae3bab200b61,SLEET; HAIL,DAWN
add9fb06cd72566a73b1a1f7931906cf,SNOW,UNKNOWN
15314c7dd298fcb863fc25c02d015510,SMOG; SMOKE,DAYLIGHT
3f4714dfba9108941f921b71baca921b,UNKNOWN,OTHER
e867fc2759ed0c95df00ef9f68f120ff,OTHER (NARRATIVE),UNKNOWN
